8,9,0,1,2,3,4,5,6,7
14,50,24,446,98.02442253408357,0.25504989048430277,328.1154108077112,False,False,False
14,60,-2,498,59.9014087196641,0.7270955165692008,243.56854988759957,False,False,False
14,70,0,488,70.3325690083587,0.5719153078607934,228.69964254561245,False,False,False
14,80,0,488,69.37233308473532,0.5723331709693132,230.04861693623806,False,False,False
14,90,0,488,69.33367030090422,0.594884287454324,230.17014576272533,False,False,False
14,100,0,488,69.42983381898478,0.5722289890377589,230.08164472953118,False,False,False
14,110,0,490,68.85595128807925,0.5955739299610895,230.9730219323959,False,False,False
14,120,0,484,73.21388406494292,0.5266617969320672,223.9433471567919,False,False,False
14,130,0,484,72.99831006277715,0.5265335929892891,224.23912668232055,False,False,False
14,140,0,520,56.68071421871514,0.8064672988086555,264.88358978431415,False,False,False
14,150,0,530,57.52235264595693,0.8929179849111706,280.7936088556129,False,False,False
14,160,0,528,56.75823391761479,0.8621865108351595,275.82042849865326,False,False,False
14,170,0,528,56.76020426397224,0.8620102214650767,275.8821965289117,False,False,False
14,180,-2,526,56.506848459397624,0.8622871046228711,272.85746193683366,False,False,False
14,190,0,524,56.461438163964466,0.8440009734728644,271.6065898017716,False,False,False
14,200,0,526,56.407157507444666,0.8495252008765523,273.53434339085146,False,False,False
14,210,2,530,57.03734783004658,0.884100316532749,278.9293928249121,False,False,False
14,220,0,532,57.84669126668749,0.9018748478207937,283.63068055286425,False,False,False
14,230,0,530,57.28175398044302,0.8848868337795084,280.64431300155906,False,False,False
14,240,2,528,56.631188299706366,0.8649963512527366,275.3073250076169,False,False,False
14,250,2,532,57.70687861491447,0.8843438032627222,282.64554427625933,False,False,False
14,260,0,536,60.180766771976955,0.8626734842951059,291.3235620475705,False,False,False
14,270,0,536,60.24123125884714,0.8628835849975646,291.8636763775022,False,False,False
14,280,0,538,60.690057276658095,0.8639902676399027,293.54294269774323,False,False,False
14,290,0,536,59.16030944436489,0.8888888888888888,290.0233495689756,False,False,False
14,300,0,532,57.76736446913832,0.8999513145082765,284.8214693440171,False,False,False
14,310,0,534,57.82513796856199,0.9017031630170317,286.33707933632746,False,False,False
14,320,0,534,57.36744484129734,0.9078722885693395,284.55817184067894,False,False,False
14,330,0,526,55.86115845903473,0.867332035053554,273.3313792500918,False,False,False
14,340,-2,526,55.88886992592038,0.8661148977604674,273.6927314548563,False,False,False
14,350,6,536,58.021783773039225,0.9211295034079844,289.4977618134868,False,False,False
14,360,0,542,91.72347716284226,0.45801898272085667,326.672958620391,False,False,False
14,370,0,546,82.72773790555902,0.562636828022379,322.20800107190433,False,False,False
14,380,0,546,80.33545820142965,0.5863580998781973,320.1656763806931,False,False,False
14,390,0,548,75.56528924409739,0.6599269183922046,317.0206175546636,False,False,False
14,400,0,548,77.1051873654393,0.6392003900536324,318.17805000156,False,False,False
14,410,0,546,69.97063313131301,0.7312560856864654,311.8322122510972,False,False,False
14,420,0,546,65.34077117112285,0.8092570036540804,306.61703580158115,False,False,False
14,430,0,544,63.26424775096341,0.8371018721128131,303.5729368007442,False,False,False
14,440,0,544,61.09424926133815,0.879717555393231,300.7740093365866,False,False,False
14,450,0,544,61.78027085214396,0.8543594739405748,301.88922902293757,False,False,False
14,460,0,548,67.5185620271409,0.7847577307036766,310.8580256777695,False,False,False
14,470,0,546,62.96316980526757,0.8442443416889754,305.9088066712531,False,False,False
14,480,0,548,64.87719395545277,0.8284182305630027,308.612116547569,False,False,False
14,490,-2,544,59.575511651560625,0.9050170482221139,301.2945573578095,False,False,False
14,500,-2,538,53.97656344666249,0.9474324653200292,288.8017121251519,False,False,False
14,506,2000,2538,53.72709799063823,0.9474324653200292,287.82394587363996,True,False,True
15,10,6,26,311.9627467465735,0.0,-357.63540960952986,False,False,False
15,20,24,182,233.19597017627558,0.0,-349.40720688918407,False,False,False
15,30,16,424,112.96947116493222,0.12423873325213154,2.918134157237664,False,False,False
15,40,4,532,58.745980153831574,0.6850182704019488,2.5932226051390854,False,False,False
15,50,0,550,47.95252420310576,0.8096860550012168,0.6871706956765308,False,False,False
15,60,0,552,48.14255238911741,0.8098831548198637,0.7306654446962132,False,False,False
15,70,0,1050.0,3.662729305956114,1.0,-6.584002833031515,False,False,False
15,79,2000,3050.0,7.432260411623526,1.0,183.08457626952452,True,False,True
16,10,8,28,311.9603692720672,0.0,1.69706694191717,False,False,False
16,20,12,156,247.05617493775316,0.0,-0.5131216248415631,False,False,False
16,30,8,192,228.18251617542467,0.0,-1.984762856721083,False,False,False
16,40,2,258,196.0076944755531,0.0,-2.8886473006873925,False,False,False
16,50,8,326,161.77405547023412,0.0,-12.263989740326338,False,False,False
16,60,6,412,117.14263947611963,0.05206812652068127,339.84429997079155,False,False,False
16,70,0,462,91.07267400269708,0.3412022389875882,332.7102167792436,False,False,False
16,80,2,476,81.34476783054404,0.4657901144387631,328.37132873511115,False,False,False
16,90,0,500,64.79449605046099,0.683698296836983,318.44673794175617,False,False,False
16,100,-2,504,59.72571640895451,0.7495741056218058,313.65202025861373,False,False,False
16,110,0,510,53.87740422979144,0.848661800486618,305.72617970712423,False,False,False
16,120,0,510,55.855382478824765,0.8170523751522534,308.6802014995682,False,False,False
16,130,0,512,54.556311869758304,0.8384971944376677,307.0003114853436,False,False,False
16,140,2,514,49.776950790519884,0.9223088163662932,298.7631444799504,False,False,False
16,142,2000,2514,49.676242012667586,0.9322942036044812,298.57583436078374,True,False,True
17,10,0,16,317.47872853985945,0.0,-357.71389375525473,False,False,False
17,20,28,168,240.51851544656688,0.0,-352.9191050921943,False,False,False
17,30,16,412,118.77862989914695,0.05306718597857838,5.702672065161558,False,False,False
17,40,12,528,61.932313979918426,0.6419182083739046,-1.305249696048833,False,False,False
17,50,0,548,49.22615455666033,0.7876429092678181,-3.918214237505602,False,False,False
17,60,2,550,41.30228513361179,0.873356064296152,-5.381077597557403,False,False,False
17,70,-2,1075.3333333333335,9.662567370639762,1.0,328.9839480775378,False,False,False
17,75,-26.834504248962876,1050.4988290843705,30.945127245197092,0.9926989535166707,186.33901320549924,False,True,True
18,10,6,26,311.96281405995927,0.0,-357.6492076592948,False,False,False
18,20,26,184,233.0960364264894,0.0,-353.20982740105984,False,False,False
18,30,18,450,98.8289343872992,0.24214372716199756,-11.823975751573565,False,False,False
18,40,0,522,57.34882699109998,0.6987335606429615,337.5910370497712,False,False,False
